pair_id,verdict
G001,OR
G002,UNKNOWN
G003,OR
G004,SHIFTED
G005,SHIFTED
G006,UNKNOWN
G007,SHIFTED
G008,SHIFTED
G009,OR
G010,OR
G011,OR
G012,SHIFTED
G013,SHIFTED
G014,SHIFTED
G015,UNKNOWN
G016,OR
G017,OR
G018,HARMFUL
G019,OR
G020,OR
G021,SHIFTED
G022,SHIFTED
G023,SHIFTED
G024,OR
G025,SHIFTED
G026,HARMFUL
G027,UNKNOWN
G028,OR
G029,OR
G030,UNKNOWN
G031,OR
G032,OR
G033,OR
G034,SHIFTED
G035,OR
G036,OR
G037,OR
G038,OR
G039,SHIFTED
G040,HARMFUL
G041,OR
G042,UNKNOWN
G043,SHIFTED
G044,SHIFTED
G045,OR
G046,SHIFTED
G047,OR
G048,OR
G049,SHIFTED
G050,OR
G051,OR
G052,HARMFUL
G053,OR
G054,SHIFTED
G055,OR
G056,SHIFTED
G057,OR
G058,OR
G059,OR
G060,HARMFUL
G061,SHIFTED
G062,SHIFTED
G063,OR
G064,HARMFUL
G065,HARMFUL
G066,HARMFUL
G067,HARMFUL
G068,OR
G069,OR
G070,OR
G071,SHIFTED
G072,UNKNOWN
G073,SHIFTED
G074,SHIFTED
G075,OR
G076,OR
G077,SHIFTED
G078,HARMFUL
G079,HARMFUL
G080,OR
G081,SHIFTED
G082,SHIFTED
G083,HARMFUL
G084,SHIFTED
G085,HARMFUL
G086,OR
G087,OR
G088,SHIFTED
G089,SHIFTED
G090,HARMFUL
G091,SHIFTED
